system   D            wsystem.c:583  maybe_parent_dir                 [   0.00080] Also searching C:\Users\Marcin\Documents\SGD\lab\Maze2\
display  D   display_settings.c:486  _al_score_display_settings       [   0.06350] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06352] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06354] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06356] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06358] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06360] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06362] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06365] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06367] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06369] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06371] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06373] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06375] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06377] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06380] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06382] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06384] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06386] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06388] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06390] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06392] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06394] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06396] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06398] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06400] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06402] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06404] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.06407] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.06409] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.06411] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.06413] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.06415] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.06417] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.06419] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.06421] Score is : 587
